Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
150311,3108,"[-8.47, -8.47]","[-15.44, -15.44]","[-8.47, -8.47]","[-15.44, -15.44]",-8.47,-15.44,-8.47,-15.44,yes
150311,3117,"[2.73, 2.73]","[1.18, 1.18]","[2.73, 2.73]","[1.18, 1.18]",2.73,1.18,2.73,1.18,yes
150311,3121,"[-10.05, -10.05]","[-21.89, -21.89]","[-10.07, -10.07]","[-21.89, -21.89]",-10.05,-21.89,-10.07,-21.89,yes
150311,3156,"[-8.5, -8.5]","[-21.77, -21.77]","[-8.5, -8.5]","[-21.77, -21.77]",-8.5,-21.77,-8.5,-21.77,yes
150311,31703,"[3.78, 3.78]","[3.11, 3.11]","[3.72, 3.72]","[3.11, 3.11]",3.78,3.11,3.72,3.11,yes
150311,3229,"[9.66, 9.66]","[-4.94, -4.94]","[9.66, 9.66]","[-4.94, -4.94]",9.66,-4.94,9.66,-4.94,yes
150311,3331,"[-13.31, -13.31]","[-25.82, -25.82]","[-13.31, -13.31]","[-25.82, -25.82]",-13.31,-25.82,-13.31,-25.82,yes
150311,3342,"[-7.1, -7.1]","[-19.59, -19.59]","[-7.12, -7.12]","[-19.59, -19.59]",-7.1,-19.59,-7.12,-19.59,yes
150311,3373,"[-9.43, -9.43]","[-23.98, -23.98]","[-9.44, -9.44]","[-23.98, -23.98]",-9.43,-23.98,-9.44,-23.98,yes
150311,3397,"[3.6, 3.6]","[-8.82, -8.82]","[3.6, 3.6]","[-8.82, -8.82]",3.6,-8.82,3.6,-8.82,yes
150311,3406,"[-8.36, -8.36]","[-22.08, -22.08]","[-8.36, -8.36]","[-22.08, -22.08]",-8.36,-22.08,-8.36,-22.08,yes
150311,3446,"[-10.26, -10.26]","[-23.41, -23.41]","[-10.28, -10.28]","[-23.41, -23.41]",-10.26,-23.41,-10.28,-23.41,yes
150311,3519,"[-9.99, -9.99]","[-23.67, -23.67]","[-9.99, -9.99]","[-23.67, -23.67]",-9.99,-23.67,-9.99,-23.67,yes
150311,3637,"[-22.73, -22.73]","[-33.78, -33.78]","[-22.73, -22.73]","[-33.78, -33.78]",-22.73,-33.78,-22.73,-33.78,yes
150311,3652,"[4.56, 4.56]","[-8.48, -8.48]","[4.55, 4.55]","[-8.48, -8.48]",4.56,-8.48,4.55,-8.48,yes
150311,3657,"[3.35, 3.35]","[2.84, 2.84]","[3.35, 3.35]","[2.84, 2.84]",3.35,2.84,3.35,2.84,yes
150311,3696,"[-1.28, -1.28]","[-15.04, -15.04]","[-1.28, -1.28]","[-15.04, -15.04]",-1.28,-15.04,-1.28,-15.04,yes
150311,37542,"[8.17, 8.17]","[6.65, 6.65]","[8.17, 8.17]","[6.65, 6.65]",8.17,6.65,8.17,6.65,yes
150311,3779,"[-0.13, -0.13]","[-5.53, -5.53]","[-0.13, -0.13]","[-5.53, -5.53]",-0.13,-5.53,-0.13,-5.53,yes
150311,38521,"[20.4, 20.4]","[6.59, 6.59]","[20.4, 20.4]","[6.59, 6.59]",20.4,6.59,20.4,6.59,yes
150311,387447,"[3.89, 3.89]","[3.51, 3.51]","[3.87, 3.87]","[3.51, 3.51]",3.89,3.51,3.87,3.51,yes
150311,3878,"[-8.66, -8.66]","[-22.8, -22.8]","[-8.66, -8.66]","[-22.8, -22.8]",-8.66,-22.8,-8.66,-22.8,yes
